type,name,service,description,skills,picture,my_work_url,company_url
Development,Gmail Analysis,class project,"We spend so much of our time and interaction on email now! I wrote an R package that downloads a user's email history, conducts text analysis and graphs results. What time of day are you most likely to reply to an email? What day of week? How many emails do you send per day?",#R #python #IMAP #gmail,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1855.png,https://github.com/ashaegupta/R_Project_Gmail_Analysis,http://chippertohacker.tumblr.com/post/11403460242/r-project-email-analysis
Development,SplitMyRide,taxi-sharing service,I wrote all the server-side code for a taxi-sharing service that matches people taking cabs from New York airports to Manhattan / Brooklyn.,#python #mongodb #AmazonEC2 #tornado,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1856.png,https://github.com/ashaegupta/Split-My-Ride,
Development,Instagram Challenge,photo app,I lost sense of time in this Instagram Engineering Challenge. The task was to make a shredded and scrambled image look normal.,#python #PIL,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1932.png,https://github.com/ashaegupta/unshredder,http://instagram-engineering.tumblr.com/post/12651721845/instagram-engineering-challenge-the-unshredder
Development,Venmo,android app,"In my final 3 weeks at Venmo, I picked up android programming as it was a high need at the time. I deployed some new features including payment sharing and foursquare connect. I also squashed a lot of bugs.",#start-up #android #java #mobile #api,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1845.png,,https://venmo.com
Development,Search Algorithm,class project,"The purpose of this project was to build two different search algorithms, term-at-a-time and document-at-a-time, and compare their efficiency. Term-at-a-time is optimal for shorter, rare query terms, while doc-at-a-time is preferred for longer and more frequent queries.",#java #search-algorithm,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1934.png,,https://github.com/ashaegupta/InvIndexSearch
Development,DrinksOnMe,android app,This is a foursquare-venmo mash-up that allows you to buy a drink for anyone checked-in to the same location as you. Basically a pick-up tool for the shy geek in some of us. I helped the Venmo team build this by contributing to the android code. ,#android #java #mobile #api,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1840.png,,http://www.drinksonme.me
Development,pod,web app,This web app pulls and displays photos from a flickr account that were taken on today's date in any previous year.,#python #tornado #html #beautifulsoup,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1852.png,,http://srb.ag/pod
Data,National Cable Provider,monitor consulting,"In the past, decisions at this company had largely been driven by the instinct and intuition of leadership. With the changing landscape in media, the company needed to better understand their customers and product lines in a quantitative way. Therefore, my team developed a customer-life-time value model to identify high-profit and low-profit customers, which customers are worth trying to keep, and what product lines are associated with lowest churn.",#excel #management #cross-collaboration #CLV,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1947.png,,
Data,Global Pharmaceutical,monitor consulting,The client needed a tool to forecast uptake and profits for a new drug. I built a war-game simulation model to understand 36 month growth under various indication and competitor launch scenarios., #excel #war-game-simulation,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1936.png,,
Personal,Resume 2.0,web resume service,"I have a personal mission to help people love what they do for a living. The first step to landing your dream job is to articulate and present your story in a beautiful, concise and provocative way. Traditional Word resumes don't cut it anymore (especially, if you are gunning for a job in tech). So, if you are looking for a job and like this site, get in touch with me. I'll help you.",#web-design #personal-coaching,http://dl.dropbox.com/u/9927844/Jing/2012-02-13_1140.png,,
Personal,YogaProject,,"I made this series of yoga videos for friends in Asia, where unfortunately good yoga classes are not readily available.",#teaching,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1900.png,,http://srb.ag/yoga
Personal,Mzcombozi Secondary,high school in Tanzania,I taught math to 40 Eighth Grade students who sat in 20 desks. The thrill of seeing their faces when a concept clicked is still one of the greatest moments in my life. I had to do a lot of laundry during those 5 weeks because I typically came home covered in chalk dust.,#education #teaching #math,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1859.png,,
Personal,CatchPhrase,arduino game,My first arduino hack! A user presses a button to randomly display a phrase from a previously programmed list on an LCD screen -- a good tool for charades and studying.,#arduino,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1858.png,,
Personal,Splash,,"I taught kids in East Palo Alto an hour long seminar on ""Things I wish I learned when I was your age"". Topics included how to make decisions, how to deal with feedback in work and relationships, and an introduction to cognitive heuristics we all have to watch out for.",#education #teaching #math,http://dl.dropbox.com/u/9927844/Jing/2012-02-11_1952.png,,
